date,t_start,t_end,R_median,R_lower_95,R_upper_95
2023-05-10,2,8,NA,NA,NA
2023-05-11,3,9,NA,NA,NA
2023-05-12,4,10,NA,NA,NA
2023-05-13,5,11,NA,NA,NA
2023-05-14,6,12,NA,NA,NA
2023-05-15,7,13,NA,NA,NA
2023-05-16,8,14,4.93621840602878,4.30672102792316,5.91404794249914
2023-05-17,9,15,3.9510067774133,3.2425149399347,5.26509313541298
2023-05-18,10,16,4.66039685156687,3.66561484752244,6.51891622928171
2023-05-19,11,17,6.19367939694007,4.66345545784247,9.11106753475498
2023-05-20,12,18,6.12517095427564,4.7683173134875,8.51491591077776
2023-05-21,13,19,4.99295145308248,3.97962809478887,6.63827108175603
2023-05-22,14,20,4.41344917123319,3.5793362777733,5.65745771239352
2023-05-23,15,21,3.37735351835912,2.75596307646913,4.21907223151662
2023-05-24,16,22,3.03391342936882,2.4684584913911,3.72704406541865
2023-05-25,17,23,2.27275619533892,1.83778188307409,2.7702744864579
2023-05-26,18,24,1.63506149655257,1.31430616693672,1.99088217666407
2023-05-27,19,25,1.10229171423413,0.886388004575964,1.34774283546413
2023-05-28,20,26,0.659505572514268,0.538225209753466,0.808879165647471
2023-05-29,21,27,0.445075984969764,0.372372463853331,0.545359897275567
2023-05-30,22,28,0.539520239627707,0.463693414917361,0.653408486999212
2023-05-31,23,29,0.497728271161927,0.436401010980721,0.589778081329054
2023-06-01,24,30,0.81736397707175,0.731934239892269,0.940256446507746
2023-06-02,25,31,0.90240515230496,0.813781875698541,0.996451072288253
2023-06-03,26,32,1.21637671966778,1.10920900662827,1.3046719857673
2023-06-04,27,33,1.20372151807383,1.10732476649453,1.31447498691041
2023-06-05,28,34,1.55489074541456,1.41086594993622,1.74203263237962
2023-06-06,29,35,2.17996129702648,1.92354985639729,2.4682904441347
2023-06-07,30,36,2.5078598795256,2.16503303653064,2.83862689237911
2023-06-08,31,37,2.38771222203442,2.04228932510355,2.65399708959913
2023-06-09,32,38,2.11444908353284,1.8212567465857,2.3301201342686
