# BEAST v10.5.0
# Generated Mon May 18 21:46:34 CEST 2026 [seed=1779133593529]
# Binome_10.xml
# keywords: skygrid
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.cutOff	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.rates.KHM.CHN	location.rates.LAO.CHN	location.rates.THA.CHN	location.rates.VNM.CHN	location.rates.LAO.KHM	location.rates.THA.KHM	location.rates.VNM.KHM	location.rates.THA.LAO	location.rates.VNM.LAO	location.rates.VNM.THA	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-365141.7733445357	-9968.696766367513	-355173.07657816814	259.52379444809725	1764.084424729985	1515.7751973028123	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.25	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.001	0.3333333333333333	0.001	2.0439222760911918E-4	10.534895999373944	0.020755145575895907	0.0010000000000000002	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-354250.3883243291	0.0	0.0	-922.6882538390515	-9947.966713898528
500000	-95644.51510132632	-820.1168200899953	-94824.39828123632	1.1840476599436482	2022.4241715181386	83.94075814310936	0.01961000812606794	54.33310455304512	43.866561015127104	26.736330069111062	29.916537883696314	21.22681864268081	17.30272139311885	5.836876034520231	6.491082527419233	5.692224658332015	3.8168858863620425	4.617174150632719	2.210920551669184	0.25	1.0258117312341712	0.9824074758496164	1.011663282951761	1.001955474238214	0.9397009711096652	1.0384610646165737	0.5193437885750509	0.011334246471649913	0.006399440859678563	0.30468894205491726	0.011266576762745843	0.5816194083289544	-0.08633408377680475	0.30468894205491703	1.38219303128243	0.18831184103386142	0.4515872094098654	1.3251242993734504	0.02847373743250887	0.32167717929950884	0.12333984145100933	0.15849972552623745	1.9056577690721475	0.07979463462222337	1.6664326988266434	0.3660333757079169	0.7364250779905436	2.6783378968194205	0.18060838212621932	0.2781898123592347	4.052463524062422	0.024748000144340546	2.0352793681362016	3.3977360081907757	-94544.04860546753	0.0	0.0	-280.34967576879916	-770.1127429810114
1000000	-95561.62003212297	-738.4722394016411	-94823.14779272133	1.1395198116939722	2022.4686993663881	75.5841832860864	0.21642216844900203	20.39808489983848	17.62738822002786	18.510726906402972	16.552053225484585	14.102712254116422	13.585627342011382	10.400499164973535	7.642407779649996	5.263340561816973	3.9592109846972647	3.573431674447452	1.9769242070313493	0.25	1.039675449028066	0.975861658669152	1.005819709388012	1.015444007091927	0.9545845666578027	1.008614609165049	0.5248041384446677	0.012882057860996617	0.007150860313124511	0.3345536695540116	0.012590278415516172	0.556879799678773	-0.009460574570211322	0.33455366955401195	0.19935186276394978	0.2980706840427419	0.3479695910245614	0.46684871196544414	0.11207055894451513	0.31305544165035065	0.21960344223221429	0.29503910535925176	1.4250366760580078	1.959740554190459	0.6717729223205127	0.08519168692690997	1.890725598776121	5.279440127715433	0.22420489682984884	0.4240516438075993	3.9043394487198597	0.4203104032166479	2.792017983833499	4.162577983633733	-94548.28130632394	0.0	0.0	-274.8664863973771	-681.9964546655164
1500000	-95539.95635781759	-726.6922645128769	-94813.26409330471	1.0032828858700331	2022.6049362922122	72.08914470664226	0.0022786721975208103	40.86215519751951	73.47411651057956	29.79093730394441	9.29167023900201	39.5591758330804	20.875447515293796	42.81560721957896	34.96005032819602	18.126837019826205	3.3402183074466048	5.267625929517349	1.8118118941713468	0.25	1.0314525724757149	0.9888786975644068	0.9783992184514441	1.0019708762011768	0.9874749753009928	1.0118236600062733	0.5159218321857852	0.014181095998289253	0.008936223725752295	0.44203378730746606	0.013097213920663568	0.6480381890003395	0.018232549626925748	0.4420337873074656	0.005626335530274232	0.2546333183587291	0.039256383598523535	1.0004535733628988	0.20895507169649513	0.10659415725711961	0.1652619726387741	0.5179313683166377	1.1856538150051696	1.4672087882978126	0.9836764779238542	0.2719731349731222	2.423210702011669	3.0718097546613294	0.4634585379120653	1.125018213111655	3.3852987186070758	0.31779763680028367	2.0696433043724802	2.5739291302159972	-94538.33187326745	0.0	0.0	-274.9322200372496	-671.7700455347058
2000000	-95489.82409534647	-686.5493071078253	-94803.27478823865	1.0761587952574796	2022.5320603828247	69.04388560259827	0.12674084665868698	25.038491081705757	22.069976377935788	21.055923145151944	19.455830141587583	19.92891106995632	17.86824852653004	13.252750891628502	10.414998837871561	7.765628107827741	2.655005683271182	5.900309913058712	1.6236637684780582	0.25	1.018649460484074	0.9651461701781453	0.9784940467015609	1.015641206851146	0.9604148219457795	1.0616542938393059	0.5559099609974124	0.015441876920911556	0.00960883558710784	0.3829894123595515	0.013890347173811036	0.6233994160918146	0.06547616040243782	0.38298941235955136	0.16533835432625027	0.24293589548962416	0.022345701386886064	0.2350033866434051	0.006178031006843448	1.2679742286167135	0.3944974864056382	0.3253434073525817	0.4237056510865966	0.8957996520746895	0.5721728836997387	0.10359051650787127	1.9438397371772096	3.373707084911527	0.2477137314655159	0.2133583285242364	3.0298648434922373	0.8100204790942777	1.7457512937224646	2.1451473401817114	-94527.25752499198	0.0	0.0	-276.01726324666754	-636.3683770442176
2500000	-95510.26133729264	-674.4945776543345	-94835.76675963831	1.0022702250497262	2022.6059489530326	68.41518737534142	0.06883790872329627	15.290209238153608	18.368697103625156	18.749421869793984	9.908866303789477	6.706689598419221	11.829400961733898	14.276000184241	17.44022619674574	11.309640561671593	3.796477621435245	7.090858092829387	1.6852643791482638	0.25	1.0227520952594784	0.9869251235339613	1.0259977418738429	0.9971408618299304	0.9191932156225937	1.0479909618802068	0.5161154141075314	0.015449086681967162	0.009191277652981535	0.38160022731948157	0.013990433691470126	0.5532097343133138	-0.0034930674642193334	0.3816002273194812	0.2316064627352823	0.4962691056450027	0.13352412659058188	0.28654483160272654	0.1776410808507667	0.5767458718262778	0.5051980874994586	0.309416836080428	1.5801527741881514	0.058132577434596315	0.7538528710684815	0.2840103096155857	1.1425055589218704	2.8897892962158704	0.1390026284782983	0.17363210586760394	2.942014850522369	0.43646080229891016	0.6474873711793556	2.4346716092337624	-94556.645603811	0.0	0.0	-279.12115582730553	-627.3074327446196
3000000	-95507.5385722088	-672.43097746123	-94835.10759474756	0.9910806889483343	2022.6171384891338	67.25581939949174	9.423225736466456E-4	150.76868825155634	108.56451107239691	62.4311501519645	39.166239758202416	29.074534482655515	19.402697517972314	14.09710251881117	24.041698153687236	41.76884401440459	2.8452333865874975	14.566676529092174	1.521873362337949	0.25	1.0513781462643201	0.9879449503254703	0.9950429373028318	0.9815208082391426	0.9578521806205037	1.0262609772477491	0.504943933142178	0.014699271490942719	0.009717060460811928	0.39212899242212873	0.01354666384968584	0.6505645380934034	-0.052098707723915796	0.3921289924221286	0.03257328872229776	0.807812142083871	1.2242147210285026	0.19461140981411373	0.41604984552436886	0.3807052638287986	1.7317384685103279	1.2039794036646185	0.6204992471202719	0.4346400025349044	0.3457818003957407	0.5339308553204514	0.28509234075983575	5.127198050483896	0.004892292261223709	0.4059740269528919	2.960707270037824	0.34857901930059704	3.011603523932408	3.4463482073691636	-94550.48586970026	0.0	0.0	-284.62172504729995	-622.0300760982498
3500000	-95526.19976526882	-674.2639237072627	-94851.93584156156	1.073816165104464	2022.5344030129777	67.0504419595532	7.685497269508715E-4	130.73276011074108	143.0097452079949	168.029297052998	160.56874388593826	138.5097449138628	69.98038987350282	68.47499659053126	14.744002760915585	7.3368864975399575	2.978396910143097	17.157678856786944	1.5098416278037794	0.25	1.0097244853935838	1.0351400088547225	0.9947657892368292	0.9896053280186985	0.9734887498996323	0.9972756385965497	0.5264845029691574	0.015634948217308042	0.009370411016631648	0.3850641647238622	0.01428567853043471	0.6089044621973534	0.09556560636131314	0.38506416472386257	0.12522872946616426	0.696172065055996	2.175987767308892	1.190327920258651	0.32979734820477774	0.38075640130591326	1.6721755618395164	0.44172331008603205	1.9828196087096115	0.8404647167681494	0.08628973720836436	0.18684175762919375	1.8245848230328103	4.143632727907439	0.5775242194791665	0.10807978028528051	5.47811718962736	0.20682025289502814	2.937272433154398	5.527987473132215	-94570.49691525387	0.0	0.0	-281.43892630769204	-617.098639566119
4000000	-95495.54487712165	-674.0295224630879	-94821.51535465856	0.9347628574318164	2022.6734563206503	65.89253416547118	0.002651082311238819	125.03233530314319	134.6056308736527	133.99285987041557	109.4180417995165	55.926568209223966	6.347900565533543	28.394777302823307	29.83684596593678	5.580511295227836	2.4184802195231487	21.407615893322667	1.5069325345639968	0.25	1.0576430577215241	0.9650619361699448	0.9770925104085688	0.992490246356863	0.9651982406900637	1.0425140086530518	0.5316873224983644	0.015424178637329486	0.008258866896001823	0.34821944611743094	0.014358061825253272	0.5174752747955449	0.07943009084663037	0.348219446117431	0.055739761321712336	0.48021256043975635	0.501419159751438	0.0434607919126379	0.48174354829670846	0.18769630985251404	0.2576638152537773	0.3990547671911559	0.07265094090552028	0.27038703199374675	0.3574394506390196	0.290602416742328	1.2695847714950466	4.940435399495814	0.9717186443745687	1.560410525744235	4.331162568435796	0.5437697788637597	4.322836636984539	3.714891062888001	-94536.99027914653	0.0	0.0	-284.525075512037	-624.4252168687904
4500000	-95495.8993237219	-676.4657615317408	-94819.43356219016	0.8798620390232171	2022.728357139059	62.93325757374208	0.3585282699955577	12.536552132007856	9.956881803128011	7.960320229583661	5.512779040551165	6.52088211350999	8.493661145767007	8.214577155652938	6.332417021081525	3.925506443829249	3.0111246695340754	3.0235538194393903	1.329228673953701	0.25	1.0177814725407521	0.9702735753913785	0.9862193552834345	1.0160745517590453	0.9958970297720365	1.0137540152533682	0.5329426011552122	0.014973151014274228	0.008000260935261561	0.49752274242994776	0.014777585079050604	0.5492485691058273	0.0073502849684017125	0.49752274242994754	0.5159873933004043	0.636906015231532	0.16983279137830892	0.004125733909755259	0.6212690329311455	0.7244451935118796	0.7446390716438763	0.7752959211066388	0.21600939500900979	0.03055638372676735	0.3354820233192294	0.0567201925268575	2.532308499118743	4.4664946136116015	0.054119341939132544	0.3439899468475041	4.28549560821447	0.036985502522789086	1.4289523198204324	1.803377516505205	-94544.26387330504	0.0	0.0	-275.1696888851194	-618.7259684160805
