ID,collection_date,location
H-1,2023-05-24,KHM
M-1,2023-05-07,VNM
M-2,2023-05-06,VNM
M-3,2023-05-18,VNM
M-4,2023-05-17,VNM
M-5,2023-05-12,VNM
M-6,2023-05-10,VNM
M-7,2023-05-17,VNM
M-8,2023-05-12,VNM
H-2,2023-06-09,VNM
M-9,2023-05-13,VNM
H-3,2023-06-06,VNM
H-4,2023-06-05,VNM
M-10,2023-05-17,VNM
M-11,2023-05-24,VNM
M-12,2023-05-19,VNM
M-13,2023-05-22,VNM
M-14,2023-05-19,VNM
M-15,2023-05-21,VNM
M-16,2023-05-25,VNM
M-17,2023-05-22,VNM
M-18,2023-05-21,VNM
M-19,2023-05-22,VNM
M-20,2023-05-29,VNM
M-21,2023-05-23,VNM
M-22,2023-05-23,VNM
M-23,2023-05-22,VNM
M-24,2023-05-29,VNM
M-25,2023-06-04,VNM
M-26,2023-06-11,VNM
H-5,2023-06-19,VNM
H-6,2023-06-22,VNM
H-7,2023-06-23,VNM
H-8,2023-06-22,VNM
H-9,2023-06-22,VNM
M-27,2023-06-02,VNM
M-28,2023-06-05,VNM
M-29,2023-06-05,VNM
M-30,2023-06-04,VNM
M-31,2023-06-04,VNM
H-10,2023-06-27,VNM
M-32,2023-06-09,VNM
M-33,2023-06-16,VNM
H-11,2023-06-30,VNM
M-34,2023-06-06,VNM
M-35,2023-06-23,VNM
M-36,2023-06-08,VNM
M-37,2023-06-08,VNM
M-38,2023-06-08,VNM
M-39,2023-06-06,VNM
M-40,2023-06-14,VNM
M-41,2023-06-13,VNM
H-12,2023-07-03,VNM
M-42,2023-06-09,VNM
M-43,2023-06-09,VNM
M-44,2023-06-10,VNM
M-45,2023-06-09,VNM
M-46,2023-06-16,VNM
M-47,2023-06-09,VNM
H-13,2023-07-04,VNM
H-14,2023-07-04,VNM
M-48,2023-06-23,VNM
H-15,2023-07-03,CHN
H-16,2023-07-02,THA
M-49,2023-06-13,VNM
M-50,2023-06-10,VNM
M-51,2023-06-15,VNM
M-52,2023-06-17,VNM
M-53,2023-06-21,VNM
M-54,2023-06-21,VNM
M-55,2023-06-19,VNM
H-17,2023-07-08,VNM
H-18,2023-07-06,VNM
M-56,2023-06-16,VNM
M-57,2023-06-13,VNM
M-58,2023-06-13,VNM
M-59,2023-06-23,VNM
M-60,2023-06-19,VNM
M-61,2023-06-19,VNM
M-62,2023-06-16,VNM
M-63,2023-06-21,VNM
M-64,2023-06-20,VNM
M-65,2023-06-26,VNM
M-66,2023-06-17,VNM
H-19,2023-07-09,VNM
M-67,2023-06-23,VNM
M-68,2023-06-15,VNM
M-69,2023-06-30,VNM
M-70,2023-06-21,VNM
M-71,2023-06-22,VNM
H-20,2023-07-12,VNM
M-72,2023-06-26,VNM
